DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Biogas	Charcoal	Com-Firewood	Electricity	Ethanol	Free-Biomass	Free-Firewood	LPG	Pellets
75	Kirehe	274	28	urban	7.0821	1.065196175	1.3130750000000002	1.0	1.0	1.0	1.3130750000000002	1.0	1.0
76	Kirehe	263	28	rural	3.0042475651377676	0.9843840780854074	1.231286891284442	1.0	1.0	1.0	1.231286891284442	1.0	1.0
76	Kirehe	263	28	urban	7.250931168831169	1.0704299412337663	1.5241139610389611	1.0	1.0	1.0	1.5241139610389611	1.0	1.0
77	Kirehe	267	28	rural	3.0089873063933856	0.9840672141562827	1.2324427128217073	1.0	1.0	1.0	1.2324427128217073	1.0	1.0
77	Kirehe	267	28	urban	7.2621	1.070776175	1.5380749999999999	1.0	1.0	1.0	1.5380749999999999	1.0	1.0
78	Kirehe	546	28	rural	3.002	0.99496308	1.2307249999999998	1.0	1.0	1.0	1.2307249999999998	1.0	1.0
78	Kirehe	546	28	urban	7.164199999999999	1.04039235	1.37615	1.0	1.0	1.0	1.37615	1.0	1.0
79	Kirehe	272	28	rural	3.002269978401728	0.964699189611231	1.2307924946004318	1.0	1.0	1.0	1.2307924946004318	1.0	1.0
79	Kirehe	272	28	urban	7.082099999999999	1.065196175	1.313075	1.0	1.0	1.0	1.313075	1.0	1.0
80	Kirehe	270	28	rural	3.002	0.965614555919213	1.230725	1.0	1.0	1.0	1.230725	1.0	1.0
80	Kirehe	270	28	urban	7.0821	1.065196175	1.3130750000000002	1.0	1.0	1.0	1.3130750000000002	1.0	1.0
81	Kirehe	273	28	rural	3.002	0.9513841326315791	1.2307249999999998	1.0	1.0	1.0	1.2307249999999998	1.0	1.0
81	Kirehe	273	28	urban	7.0821	1.065196175	1.3130750000000002	1.0	1.0	1.0	1.3130750000000002	1.0	1.0
82	Kirehe	271	28	rural	3.002	0.9474644964305952	1.230725	1.0	1.0	1.0	1.230725	1.0	1.0
82	Kirehe	271	28	urban	7.1642	1.04039235	1.37615	1.0	1.0	1.0	1.37615	1.0	1.0
83	Kirehe	266	28	rural	3.0020000000000002	0.9382441051355349	1.230725	1.0	1.0	1.0	1.230725	1.0	1.0
83	Kirehe	266	28	urban	7.1642	1.04039235	1.37615	1.0	1.0	1.0	1.37615	1.0	1.0
84	Kirehe	276	28	rural	3.002	0.9719181222034653	1.230725	1.0	1.0	1.0	1.230725	1.0	1.0
