DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	AGRO	CITY	FORE	RAGE
293	Musanze	40	21	urban	0.0017052498666900618	0.7433405201765652	0.2516849411528015	0.0032692888039432652
294	Musanze	308	21	rural	0.46291571289019784	0.2784128187557409	0.2553545132459504	0.003316955108110866
294	Musanze	308	21	urban	0.021833188664668428	0.7232125813785868	0.2516849411528015	0.0032692888039432652
295	Musanze	310	21	rural	0.493332367715417	0.250000507152267	0.25339700731475856	0.003270117817557449
295	Musanze	310	21	urban	0.38709769425162516	0.35794807579163	0.2516849411528015	0.0032692888039432652
296	Musanze	306	21	rural	0.4261923879888915	0.2794713657771165	0.29056196018048847	0.003774286053503547
296	Musanze	306	21	urban	0.48010534883082917	0.26494042121242606	0.2516849411528015	0.0032692888039432652
297	Musanze	307	21	rural	0.21173658748252594	0.5329796151699157	0.2520102824871143	0.0032735148604441312
297	Musanze	307	21	urban	0.015008825418488443	0.7300369446247668	0.2516849411528015	0.0032692888039432652
298	Musanze	305	21	rural	0.4660342260068277	0.26006651186289603	0.2703870403826993	0.003512221747577029
298	Musanze	305	21	urban	0.3221252581240555	0.4229205119191997	0.2516849411528015	0.0032692888039432652
299	Musanze	315	21	rural	0.5012156507998474	0.2420782617442913	0.253436798651918	0.0032692888039432652
299	Musanze	315	21	urban	0.4907782447049839	0.2542675253382713	0.2516849411528015	0.0032692888039432652
300	Musanze	304	21	rural	0.37806078824635037	0.3662202962215451	0.25244837982788154	0.0032705357042229362
300	Musanze	304	21	urban	0.4807480601411783	0.2642977099020769	0.2516849411528015	0.0032692888039432652
301	Musanze	303	21	rural	0.48085904639571275	0.2641867236475425	0.2516849411528015	0.0032692888039432652
301	Musanze	303	21	urban	0.2545694443844449	0.4904763256588103	0.2516849411528015	0.0032692888039432652
302	Musanze	309	21	rural	0.33024082896985263	0.4140977104842897	0.2523903293312578	0.0032711312145998453
302	Musanze	309	21	urban	0.29913761595646354	0.4459081540867917	0.2516849411528015	0.0032692888039432652
303	Musanze	312	21	rural	0.13902942031335394	0.5942281495603378	0.2634670769150635	0.0032753532112447885
303	Musanze	312	21	urban	0.20892496498572347	0.5361208050575318	0.2516849411528015	0.0032692888039432652
304	Musanze	313	21	rural	0.48069479301318224	0.24307313402202915	0.27295542681016693	0.0032766461546216916
304	Musanze	313	21	urban	0.5029675082989639	0.2420782617442913	0.2516849411528015	0.0032692888039432652
305	Musanze	302	21	rural	0.4930026346804952	0.24613496330692466	0.2575398050108372	0.00332259700174292
305	Musanze	302	21	urban	0.5029675082989639	0.2420782617442913	0.2516849411528015	0.0032692888039432652
306	Rulindo	525	19	rural	0.5215392654867499	0.21621183021142082	0.25404715601112926	0.00820174829070012
306	Rulindo	525	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
307	Rulindo	515	19	rural	0.2922436971395664	0.2920339528075794	0.21816744951451045	0.1975549005383438
307	Rulindo	515	19	urban	0.23199299487336186	0.41241067756831645	0.31343364951079206	0.04216267804752959
308	Rulindo	530	19	rural	0.6093252447478964	0.17116479105898144	0.21734255917091908	0.0021674050222030713
308	Rulindo	530	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
309	Rulindo	527	19	rural	0.6270492812679479	0.18266837438676742	0.1884035279995825	0.0018788163457022077
309	Rulindo	527	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
310	Rulindo	529	19	rural	0.47485192792716735	0.32356321707542623	0.1884035279995825	0.013181326997824013
310	Rulindo	529	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
311	Rulindo	518	19	rural	0.4572921541857223	0.14837430196753823	0.2065784842374487	0.18775505960929076
311	Rulindo	518	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
312	Rulindo	528	19	rural	0.17962472716666028	0.5762738529837959	0.1884035279995825	0.055697891849961365
312	Rulindo	528	19	urban	0.13944992432545275	0.6702677313292625	0.1884035279995825	0.0018788163457022077
313	Rulindo	519	19	rural	0.2726659648532202	0.18755549035805805	0.18840352799958246	0.35137501678913924
313	Rulindo	519	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
314	Rulindo	524	19	rural	0.13944992432545272	0.14837430196753823	0.18840352799958246	0.5237722457074265
314	Rulindo	524	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
315	Rulindo	516	19	rural	0.27652206159422454	0.1642147138435814	0.19717302699042147	0.3620901975717725
315	Rulindo	516	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
316	Rulindo	517	19	rural	0.645600339059555	0.15324713982846888	0.1884035279995825	0.012748993112393617
316	Rulindo	517	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
317	Rulindo	521	19	rural	0.6497504059428738	0.15996724971184148	0.1884035279995825	0.0018788163457022077
317	Rulindo	521	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
318	Rulindo	531	19	rural	0.13944992432545272	0.14837430196753823	0.18840352799958246	0.5237722457074265
318	Rulindo	531	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
319	Rulindo	520	19	rural	0.1415228282612005	0.6662813776066707	0.1884035279995825	0.0037922661325462933
319	Rulindo	520	19	urban	0.13944992432545275	0.6702677313292625	0.1884035279995825	0.0018788163457022077
320	Rulindo	522	19	rural	0.20662432612448658	0.6030933295302287	0.1884035279995825	0.0018788163457022077
320	Rulindo	522	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
321	Rulindo	526	19	rural	0.13944992432545272	0.34910254402973984	0.18840352799958246	0.3230440036452249
321	Rulindo	526	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
322	Rulindo	523	19	rural	0.13944992432545272	0.14837430196753823	0.18840352799958246	0.5237722457074265
322	Rulindo	523	19	urban	0.2916712149328676	0.31033729942146054	0.3940617836480733	0.003929701997598515
323	Karongi	214	12	rural	0.47823832258064514	0.19675102304147463	0.29776038709677416	0.02725026728110599
323	Karongi	214	12	urban	0.13111647834274953	0.5786835216572505	0.27215	0.01805
324	Karongi	213	12	rural	0.4698396274076413	0.1549628565414167	0.27675241553520685	0.09844510051573518
324	Karongi	213	12	urban	0.12735	0.08245	0.27215	0.51805
325	Karongi	215	12	rural	0.5638982233502537	0.11366827411167513	0.27291142131979695	0.04952208121827412
325	Karongi	215	12	urban	0.12735	0.58245	0.27215	0.01805
326	Karongi	207	12	rural	0.5463477056962025	0.14313910864978904	0.29017260021097047	0.020340585443037976
326	Karongi	207	12	urban	0.15194677419354838	0.5578532258064516	0.27215	0.01805
327	Karongi	217	12	rural	0.49248443191673896	0.09213488002312807	0.27215	0.143230688060133
327	Karongi	217	12	urban	0.12735	0.58245	0.27215	0.01805
328	Karongi	209	12	rural	0.6090528985507246	0.10074710144927536	0.27215	0.01805
328	Karongi	209	12	urban	0.12735	0.58245	0.27215	0.01805
329	Karongi	241	12	rural	0.44572649702014944	0.2412554725191562	0.29003322296849876	0.02298480749219563
329	Karongi	241	12	urban	0.12925930787589499	0.5776767303102626	0.27215	0.02091396181384248
330	Karongi	220	12	rural	0.29633595103015825	0.31518354732756043	0.32741651239175873	0.06106398925052253
330	Karongi	220	12	urban	0.45076269841269845	0.12114047619047619	0.27215	0.15594682539682542
331	Karongi	205	12	rural	0.35412085134685733	0.26656927169936817	0.28273914200199535	0.09657073495177919
331	Karongi	205	12	urban	0.12735	0.08245	0.27215	0.51805
332	Karongi	262	12	rural	0.2884521069692058	0.08293622366288492	0.27215	0.35646166936790924
332	Karongi	262	12	urban	0.2547	0.1649	0.5443	0.0361
333	Karongi	206	12	rural	0.24157455730686903	0.08245	0.3151544755789064	0.36082096711422457
333	Karongi	206	12	urban	0.2547	0.1649	0.5443	0.0361
334	Karongi	208	12	rural	0.3169361148197597	0.08245	0.27215	0.32846388518024033
334	Karongi	208	12	urban	0.2547	0.1649	0.5443	0.0361
335	Karongi	216	12	rural	0.20829262295081968	0.08245	0.2730282201405152	0.4362291569086651
335	Karongi	216	12	urban	0.2547	0.1649	0.5443	0.0361
336	Karongi	210	12	rural	0.4266626120741184	0.08245	0.27215	0.21873738792588165
336	Karongi	210	12	urban	0.2547	0.1649	0.5443	0.0361
337	Karongi	211	12	rural	0.40680084145261297	0.08245	0.27215	0.23859915854738709
337	Karongi	211	12	urban	0.2547	0.1649	0.5443	0.0361
338	Karongi	204	12	rural	0.4280358122588941	0.08245	0.28415171453064725	0.20536247321045864
338	Karongi	204	12	urban	0.41548559322033896	0.29431440677966103	0.27215	0.01805
339	Karongi	202	12	rural	0.4595906638013372	0.1221112464183381	0.2976130133715377	0.120685076408787
339	Karongi	202	12	urban	0.17764585798816568	0.3871837278106509	0.27215	0.16302041420118343
340	Karongi	218	12	rural	0.55781875	0.0970984375	0.2891421875	0.055940624999999994
340	Karongi	218	12	urban	0.12735	0.58245	0.27215	0.01805
341	Karongi	219	12	rural	0.4644861132966168	0.08766243115656963	0.35466376868607397	0.09318768686073957
341	Karongi	219	12	urban	0.2547	0.1649	0.5443	0.0361
342	Karongi	203	12	rural	0.36810496080627103	0.17612307950727882	0.3380138521836506	0.11775810750279955
342	Karongi	203	12	urban	0.3931157657657658	0.2806481981981982	0.27215	0.05408603603603604
343	Karongi	212	12	rural	0.4325224137931034	0.08245	0.3206413793103448	0.16438620689655173
343	Karongi	212	12	urban	0.41438703703703705	0.29541296296296293	0.27215	0.01805
344	Ngororero	336	16	rural	0.2685818913215511	0.0	0.24880683197045633	0.4826112767079926
344	Ngororero	336	16	urban	0.5369	0.0	0.4074	0.0557
345	Ngororero	349	16	rural	0.2758296548592189	0.0	0.2037	0.5204703451407812
345	Ngororero	349	16	urban	0.5369	0.0	0.4074	0.0557
346	Ngororero	340	16	rural	0.3436205320600273	0.0	0.2037	0.4526794679399727
346	Ngororero	340	16	urban	0.5369	0.0	0.4074	0.0557
347	Ngororero	350	16	rural	0.3002525258323766	0.0	0.27821205510907004	0.42153541905855335
347	Ngororero	350	16	urban	0.5369	0.0	0.4074	0.0557
348	Ngororero	341	16	rural	0.26845	0.0	0.2037	0.52785
348	Ngororero	341	16	urban	0.26845	0.0	0.2037	0.52785
349	Ngororero	355	16	rural	0.4681400333810205	0.0	0.2037	0.3281599666189795
349	Ngororero	355	16	urban	0.7598392078071183	0.0	0.2037	0.036460792192881744
350	Ngororero	344	16	rural	0.7569092326139089	0.0	0.2037	0.039390767386091124
350	Ngororero	344	16	urban	0.5369	0.0	0.4074	0.0557
351	Ngororero	337	16	rural	0.4636747191011236	0.0	0.2037	0.3326252808988764
351	Ngororero	337	16	urban	0.5369	0.0	0.4074	0.0557
352	Ngororero	348	16	rural	0.41442315436241617	0.0	0.2037	0.3818768456375839
352	Ngororero	348	16	urban	0.5369	0.0	0.4074	0.0557
353	Ngororero	352	16	rural	0.34723562115850254	0.0	0.2037	0.44906437884149747
353	Ngororero	352	16	urban	0.5369	0.0	0.4074	0.0557
354	Ngororero	338	16	rural	0.5688509163802978	0.0	0.2037	0.22744908361970217
354	Ngororero	338	16	urban	0.5369	0.0	0.4074	0.0557
355	Ngororero	354	16	rural	0.7420799013987618	0.0	0.20392930520522815	0.05399079339601009
355	Ngororero	354	16	urban	0.7684500000000001	0.0	0.2037	0.02785
356	Ngororero	353	16	rural	0.7506806503722433	0.0	0.21816832420283747	0.03115102542491923
356	Ngororero	353	16	urban	0.7684500000000001	0.0	0.2037	0.02785
357	Ngororero	345	16	rural	0.2911139420397548	0.0	0.2037	0.5051860579602452
357	Ngororero	345	16	urban	0.26845	0.0	0.2037	0.52785
358	Ngororero	335	16	rural	0.31136287386215866	0.0	0.2037	0.48493712613784135
358	Ngororero	335	16	urban	0.5369	0.0	0.4074	0.0557
359	Ngororero	347	16	rural	0.7683027245949927	0.0	0.20384727540500736	0.02785
359	Ngororero	347	16	urban	0.7418799516908212	0.0	0.2037	0.054420048309178744
360	Ngororero	351	16	rural	0.40541020321761223	0.0	0.2037	0.3908897967823878
360	Ngororero	351	16	urban	0.26845	0.0	0.2037	0.52785
361	Ngororero	346	16	rural	0.3708729074889868	0.0	0.6012770925110131	0.02785
361	Ngororero	346	16	urban	0.5369	0.0	0.4074	0.0557
362	Ngororero	356	16	rural	0.3637615360888341	0.0	0.20380281719103432	0.4324356467201316
362	Ngororero	356	16	urban	0.5369	0.0	0.4074	0.0557
363	Ngororero	334	16	rural	0.6018816037735849	0.0	0.20517405660377358	0.19294433962264151
363	Ngororero	334	16	urban	0.5369	0.0	0.4074	0.0557
364	Ngororero	342	16	rural	0.683032062233069	0.0	0.2037	0.11326793776693106
364	Ngororero	342	16	urban	0.7684500000000001	0.0	0.2037	0.02785
365	Ngororero	339	16	rural	0.5522510204081633	0.0	0.3479602040816327	0.0997887755102041
365	Ngororero	339	16	urban	0.5369	0.0	0.4074	0.0557
366	Ngororero	343	16	rural	0.5408989795918367	0.0	0.2037	0.25540102040816326
366	Ngororero	343	16	urban	0.5369	0.0	0.4074	0.0557
367	Nyabihu	361	15	rural	0.5243230097650609	0.020691769273999898	0.40767467562717463	0.047310545333764546
367	Nyabihu	361	15	urban	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
368	Nyabihu	364	15	rural	0.37981564416984737	0.0696991519639389	0.42699715856615666	0.12348804530005705
368	Nyabihu	364	15	urban	0.5192496723428104	0.05829864245423155	0.4192329655381136	0.0032187196648444283
369	Nyabihu	359	15	rural	0.13255846474290806	0.021335579735838203	0.4200211783551555	0.4260847771660982
369	Nyabihu	359	15	urban	0.05783477239053798	0.020691769273999898	0.40734685536197823	0.5141266029734839
370	Nyabihu	363	15	rural	0.5585890740805205	0.021392889728994818	0.41673205946397124	0.003285976726513464
370	Nyabihu	363	15	urban	0.5537386903624852	0.02313425884186042	0.4198098526622389	0.0033171981334154084
371	Nyabihu	358	15	rural	0.48785190645400583	0.03645787907519373	0.4719679939679208	0.003722220502879586
371	Nyabihu	358	15	urban	0.38021816984881285	0.20225102368195674	0.4142574813314054	0.003273325137824977
372	Nyabihu	369	15	rural	0.5457605466201759	0.020757531073898695	0.4086414697585044	0.02484045254742099
372	Nyabihu	369	15	urban	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
373	Nyabihu	362	15	rural	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
373	Nyabihu	362	15	urban	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
374	Nyabihu	360	15	rural	0.5672897078284246	0.02076148185398508	0.4087192464736371	0.0032295638439532345
374	Nyabihu	360	15	urban	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
375	Nyabihu	368	15	rural	0.5686315646177883	0.020691769273999898	0.4074579464433674	0.0032187196648444283
375	Nyabihu	368	15	urban	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
376	Nyabihu	367	15	rural	0.2798570096422059	0.020691769273999898	0.42219298786799725	0.27725823321579696
376	Nyabihu	367	15	urban	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
377	Nyabihu	365	15	rural	0.5194585550070282	0.020751933800578416	0.4139158257997607	0.045873685392632604
377	Nyabihu	365	15	urban	0.5687426556991774	0.020691769273999898	0.40734685536197823	0.0032187196648444283
378	Nyabihu	366	15	rural	0.5670963275374701	0.02077076025913098	0.4089019050519785	0.0032310071514203742
378	Nyabihu	366	15	urban	0.5427091329828136	0.04672529199036369	0.40734685536197823	0.0032187196648444283
379	Nyamasheke	426	18	rural	0.08330686113374676	0.10785004304609845	0.5417731309476126	0.26706996487254214
379	Nyamasheke	426	18	urban	0.3723862663721421	0.09330466523326165	0.2707958927358133	0.26351317565878296
380	Nyamasheke	423	18	rural	0.07825391269563478	0.09330466523326165	0.5649282464123205	0.26351317565878296
380	Nyamasheke	423	18	urban	0.07825391269563478	0.09330466523326165	0.5649282464123205	0.26351317565878296
381	Nyamasheke	357	18	rural	0.08318410212155652	0.09382363254125343	0.5594790896784071	0.26351317565878296
381	Nyamasheke	357	18	urban	0.3838247467928952	0.09330466523326165	0.2593574123150602	0.26351317565878296
382	Nyamasheke	425	18	rural	0.07860734037369421	0.09595747070141888	0.5618356395013399	0.2635995494235471
382	Nyamasheke	425	18	urban	0.5782789139456973	0.09330466523326165	0.06490324516225811	0.26351317565878296
383	Nyamasheke	427	18	rural	0.08667083993232526	0.09583315080323021	0.4806020873844442	0.3368939218800003
383	Nyamasheke	427	18	urban	0.0782539126956348	0.5933296664833242	0.06490324516225812	0.26351317565878296
384	Nyamasheke	422	18	rural	0.11147484947671964	0.09330466523326165	0.5317073096312358	0.26351317565878296
384	Nyamasheke	422	18	urban	0.07825391269563478	0.09330466523326165	0.5649282464123205	0.26351317565878296
385	Nyamasheke	416	18	rural	0.3898132531576102	0.20492379090815344	0.13635674078643034	0.2689062151478061
385	Nyamasheke	416	18	urban	0.38791944899471903	0.22295059609820364	0.12561677924829434	0.26351317565878296
386	Nyamasheke	240	18	rural	0.0816550946962812	0.26922098222399937	0.30502441625165094	0.3440995068280684
386	Nyamasheke	240	18	urban	0.08082032854450681	0.58187078526409	0.0666606172771683	0.2706482689142349
387	Nyamasheke	424	18	rural	0.3823623995412492	0.21162043529207888	0.08023908044859016	0.3257780847180818
387	Nyamasheke	424	18	urban	0.28606714148874335	0.2328698168465862	0.09507001036552105	0.38599303129914947
388	Nyamasheke	421	18	rural	0.11956815148393814	0.18010493146121964	0.4278220685616147	0.27250484849322754
388	Nyamasheke	421	18	urban	0.0782539126956348	0.5933296664833242	0.06490324516225812	0.26351317565878296
389	Nyamasheke	417	18	rural	0.07877431153951098	0.13572914857685298	0.5217811804270273	0.2637153594566087
389	Nyamasheke	417	18	urban	0.0782539126956348	0.5933296664833242	0.06490324516225812	0.26351317565878296
390	Nyamasheke	429	18	rural	0.0799965019237319	0.11471392044822029	0.2263967513852997	0.5788928262427481
390	Nyamasheke	429	18	urban	0.0782539126956348	0.5933296664833242	0.06490324516225812	0.26351317565878296
391	Nyamasheke	418	18	rural	0.08508710213404624	0.11234198172983954	0.3615725509094021	0.44099836522671204
391	Nyamasheke	418	18	urban	0.1565156515651565	0.1866186618661866	0.12981298129812982	0.527052705270527
392	Nyamasheke	419	18	rural	0.15449626888019352	0.10448885591688242	0.11818322076651115	0.6228316544364129
392	Nyamasheke	419	18	urban	0.5782789139456973	0.09330466523326165	0.06490324516225811	0.26351317565878296
393	Nyamasheke	430	18	rural	0.09346623985616291	0.10252599910546982	0.07053408379735741	0.7334736772410099
393	Nyamasheke	430	18	urban	0.1565156515651565	0.1866186618661866	0.12981298129812982	0.527052705270527
394	Nyamasheke	428	18	rural	0.0861265223756093	0.23001626086283822	0.3217659637472741	0.36209125301427836
394	Nyamasheke	428	18	urban	0.0782539126956348	0.5933296664833242	0.06490324516225812	0.26351317565878296
395	Nyamasheke	420	18	rural	0.10110316793696437	0.4003313567064806	0.1264199199807996	0.3721455553757554
395	Nyamasheke	420	18	urban	0.08563931809948389	0.5549491539277301	0.07102864849401283	0.2883828794787732
396	Rubavu	485	14	rural	0.494228324088082	0.1241	0.380821675911918	0.00085
396	Rubavu	485	14	urban	0.5007	0.1241	0.37435	0.00085
397	Rubavu	486	14	rural	0.47175377276669556	0.1442647875108413	0.3778192107545534	0.0061622289679098005
397	Rubavu	486	14	urban	0.5007	0.1241	0.37435	0.00085
398	Rubavu	483	14	rural	0.4995945695730275	0.1241	0.37435	0.0019554304269725022
398	Rubavu	483	14	urban	0.5007	0.1241	0.37435	0.00085
399	Rubavu	494	14	rural	0.49690012666244454	0.1253666244458518	0.3747722081486173	0.0029610407430863414
399	Rubavu	494	14	urban	0.44087094017094014	0.18392905982905983	0.37435	0.00085
400	Rubavu	482	14	rural	0.4878168369613505	0.1369831630386495	0.37435	0.00085
400	Rubavu	482	14	urban	0.2968450816559058	0.3279549183440942	0.37435	0.00085
401	Rubavu	495	14	rural	0.49722777777777777	0.12757222222222223	0.37435	0.00085
401	Rubavu	495	14	urban	0.2658777288455489	0.3589222711544511	0.37435	0.00085
402	Rubavu	480	14	rural	0.5003761658031088	0.1244238341968912	0.37435	0.00085
402	Rubavu	480	14	urban	0.3829594026548672	0.24184059734513275	0.37435	0.00085
403	Rubavu	488	14	rural	0.35025752212389377	0.1241	0.37435	0.1512924778761062
403	Rubavu	488	14	urban	0.02826322883537786	0.5965367711646221	0.37435	0.00085
404	Rubavu	487	14	rural	0.31639884792626727	0.26893387096774196	0.3907385944700461	0.0239286866359447
404	Rubavu	487	14	urban	0.182939428155163	0.4408811752564803	0.37532717780610697	0.0008522187822497419
405	Rubavu	490	14	rural	0.46671752246469833	0.13905757381258024	0.39333180359435177	0.0008931001283697047
405	Rubavu	490	14	urban	0.2027444730077121	0.36729197372179373	0.42898948871750925	0.0009740645529848613
406	Rubavu	493	14	rural	0.49735924276169263	0.1241	0.37435	0.004190757238307349
406	Rubavu	493	14	urban	0.4864651245551601	0.13833487544483986	0.37435	0.00085
407	Rubavu	481	14	rural	0.5007	0.1241	0.37435	0.00085
407	Rubavu	481	14	urban	0.07489936851601263	0.5499006314839874	0.37435	0.00085
408	Rubavu	489	14	rural	0.5007	0.1241	0.37435	0.00085
408	Rubavu	489	14	urban	0.08058800190635054	0.5442119980936495	0.37435	0.00085
409	Rubavu	484	14	rural	0.5007	0.1241	0.37435	0.00085
409	Rubavu	484	14	urban	0.5007	0.1241	0.37435	0.00085
410	Rubavu	492	14	rural	0.496005729417429	0.1271091478093404	0.3757943909484834	0.0010907318247472316
410	Rubavu	492	14	urban	0.47038277339044304	0.15441722660955695	0.37435	0.00085
411	Rubavu	491	14	rural	0.4549313585488228	0.1360557506754149	0.4080862890775762	0.0009266016981860285
411	Rubavu	491	14	urban	0.3384847011724335	0.2505870746354018	0.40999728338575925	0.0009309408064054903
412	Rusizi	542	17	rural	0.42556224833335804	0.1015550777538877	0.28032150887083257	0.19256116504192164
412	Rusizi	542	17	urban	0.5009367264490658	0.1015550777538877	0.20611030551527576	0.19139789028177065
413	Rusizi	533	17	rural	0.0029231826464545243	0.10248276792318281	0.7044345414549639	0.1901595079753988
413	Rusizi	533	17	urban	0.0021501075053752686	0.1015550777538877	0.7061353067653382	0.1901595079753988
414	Rusizi	543	17	rural	0.00321879071868578	0.1015550777538877	0.7035823413113187	0.19164379021610783
414	Rusizi	543	17	urban	0.0021501075053752686	0.10258252638659329	0.7051078581326327	0.1901595079753988
415	Rusizi	278	17	rural	0.12259837880155593	0.1015550777538877	0.5856870354691576	0.1901595079753988
415	Rusizi	278	17	urban	0.45617561776965254	0.1015550777538877	0.252109796501061	0.1901595079753988
