DemandArea_Id	Region	ElArea_Id	LpgArea_Id	SocClust_Id	Area_Type	Electricity_Demand	CookingHeating_Demand
27	Gatsibo	117	26	5	rural	120897.74999999943	714171.8640000006
27	Gatsibo	117	26	3	rural	27978.150000000347	1395550.1220000111
27	Gatsibo	117	26	9	urban	20563.57500000005	1025711.1209999953
27	Gatsibo	117	26	8	urban	19540.87500000001	974698.8449999961
27	Gatsibo	117	26	10	urban	41419.349999999955	245952.0449999998
27	Gatsibo	117	26	7	urban	227185.5	122065.089
27	Gatsibo	117	26	6	urban	40177.5	162146.163
27	Gatsibo	117	26	1	rural	76702.5	38259.207
27	Gatsibo	117	26	2	rural	1475610.0	0.0
28	Gatsibo	103	26	4	rural	57526.87500000152	2869440.5250000805
28	Gatsibo	103	26	3	rural	29913.975000000424	1492109.0730000157
28	Gatsibo	103	26	5	rural	88317.44999999965	513766.494000003
28	Gatsibo	103	26	10	urban	24617.85000000002	138461.8919999999
28	Gatsibo	103	26	9	urban	11505.374999999935	573888.1050000029
28	Gatsibo	103	26	8	urban	7122.374999999977	355264.0650000012
28	Gatsibo	103	26	6	urban	10957.5	5465.601000000001
28	Gatsibo	103	26	1	rural	115053.75	57388.81050000001
28	Gatsibo	103	26	2	rural	7305.0	0.0
29	Gatsibo	100	26	4	rural	216775.87499997774	10812780.645000001
29	Gatsibo	100	26	5	rural	423909.15000000707	2483204.72100005
29	Gatsibo	100	26	3	rural	99932.39999999636	4984628.111999978
29	Gatsibo	100	26	10	urban	31922.850000000042	189474.16799999986
29	Gatsibo	100	26	9	urban	15742.274999999892	785224.6769999993
29	Gatsibo	100	26	8	urban	14171.699999999908	706884.3960000006
29	Gatsibo	100	26	1	rural	7325088.75	5985744.028500001
29	Gatsibo	100	26	7	urban	21915.0	0.0
29	Gatsibo	100	26	6	urban	2016180.0	255061.38000000003
29	Gatsibo	100	26	2	rural	730500.0	145749.36000000002
30	Gatsibo	110	26	4	rural	148437.59999998863	7404067.487999474
30	Gatsibo	110	26	3	rural	80464.57499999946	4013573.0010001343
30	Gatsibo	110	26	5	rural	333473.2500000052	1976725.6950000331
30	Gatsibo	110	26	1	rural	432821.25	215891.2395
30	Gatsibo	110	26	2	rural	3747465.0	216802.17300000004
30	Gatsibo	110	26	9	urban	5442.224999999994	271458.18299999996
30	Gatsibo	110	26	10	urban	16582.350000000017	102024.55199999992
30	Gatsibo	110	26	8	urban	5588.3249999999925	278745.65100000007
30	Gatsibo	110	26	7	urban	7305.0	0.0
31	Gatsibo	108	26	4	rural	196431.44999998098	9798000.725999694
31	Gatsibo	108	26	5	rural	333254.10000000574	1993122.4980000346
31	Gatsibo	108	26	3	rural	66037.20000000176	3293935.5360001004
31	Gatsibo	108	26	1	rural	2008875.0	109312.01999999999
31	Gatsibo	108	26	2	rural	3046185.0	72874.68000000001
31	Gatsibo	108	26	9	urban	11505.374999999935	573888.1050000029
31	Gatsibo	108	26	10	urban	42953.39999999997	256883.2469999998
31	Gatsibo	108	26	8	urban	5588.3249999999925	278745.65100000007
31	Gatsibo	108	26	6	urban	21915.0	10931.202000000001
32	Gatsibo	109	26	4	rural	122577.89999999275	6114185.651999743
32	Gatsibo	109	26	5	rural	228208.20000000246	1346359.7130000067
32	Gatsibo	109	26	3	rural	48468.67500000116	2417617.509000059
32	Gatsibo	109	26	9	urban	14902.1999999999	743321.736
32	Gatsibo	109	26	10	urban	35137.05000000003	209514.70499999984
32	Gatsibo	109	26	8	urban	10117.424999999948	504657.1590000035
32	Gatsibo	109	26	7	urban	54787.5	18218.670000000002
32	Gatsibo	109	26	6	urban	65745.0	32793.606
32	Gatsibo	109	26	1	rural	657450.0	163968.03
32	Gatsibo	109	26	2	rural	1493872.5	16396.803000000004
33	Gatsibo	106	26	5	rural	227331.6000000018	1324497.3090000066
33	Gatsibo	106	26	3	rural	62676.900000001726	3126323.7720000925
33	Gatsibo	106	26	4	rural	134521.57499999084	6709936.1609996185
33	Gatsibo	106	26	9	urban	12564.599999999924	626722.248000002
33	Gatsibo	106	26	10	urban	27028.500000000022	154858.6949999999
33	Gatsibo	106	26	8	urban	11395.799999999936	568422.504000003
33	Gatsibo	106	26	1	rural	262980.0	131174.424
33	Gatsibo	106	26	2	rural	737805.0	145749.36000000002
33	Gatsibo	106	26	7	urban	7305.0	0.0
33	Gatsibo	106	26	6	urban	10957.5	5465.601000000001
34	Gatsibo	122	26	8	urban	13769.924999999912	686843.859000001
34	Gatsibo	122	26	10	urban	42076.8	245952.0449999998
34	Gatsibo	122	26	9	urban	15669.224999999893	781580.9429999994
34	Gatsibo	122	26	4	rural	84555.3749999988	4217622.105000138
34	Gatsibo	122	26	5	rural	181967.55000000072	1073079.6629999992
34	Gatsibo	122	26	3	rural	41967.2250000009	2093325.183000044
34	Gatsibo	122	26	6	urban	449257.5	60121.611000000004
34	Gatsibo	122	26	1	rural	284895.0	142105.62599999996
34	Gatsibo	122	26	7	urban	2206840.5	160324.296
34	Gatsibo	122	26	2	rural	1461000.0	437248.0800000001
35	Gatsibo	41	26	9	urban	13806.449999999912	688665.726000001
35	Gatsibo	41	26	8	urban	16326.674999999886	814374.5489999988
35	Gatsibo	41	26	10	urban	43903.04999999999	258705.1139999998
35	Gatsibo	41	26	4	rural	28233.825000000357	1408303.1910000117
35	Gatsibo	41	26	3	rural	10482.674999999945	522875.82900000375
35	Gatsibo	41	26	5	rural	73196.0999999997	437248.08000000217
35	Gatsibo	41	26	2	rural	32872.5	16396.803000000004
35	Gatsibo	41	26	1	rural	21915.0	10931.202000000001
35	Gatsibo	41	26	6	urban	71223.75	35526.406500000005
35	Gatsibo	41	26	7	urban	752415.0	145749.36000000002
36	Gatsibo	111	26	5	rural	448307.85000000696	2577941.805000054
36	Gatsibo	111	26	4	rural	190331.77499998195	9493748.936999602
36	Gatsibo	111	26	3	rural	65964.15000000177	3290291.8020001003
36	Gatsibo	111	26	1	rural	801723.75	563867.8365
36	Gatsibo	111	26	9	urban	17422.424999999927	869030.5589999979
36	Gatsibo	111	26	8	urban	14208.224999999908	708706.2630000006
36	Gatsibo	111	26	10	urban	41492.399999999965	231377.10899999982
36	Gatsibo	111	26	2	rural	763372.5	162146.16300000003
36	Gatsibo	111	26	6	urban	515002.5	92915.217
36	Gatsibo	111	26	7	urban	164362.5	81984.01500000001
37	Gatsibo	104	26	9	urban	12966.37499999992	646762.7850000017
37	Gatsibo	104	26	8	urban	6684.074999999982	333401.6610000009
37	Gatsibo	104	26	10	urban	32945.55000000003	193117.90199999986
37	Gatsibo	104	26	4	rural	76410.3000000001	3811345.7640001248
37	Gatsibo	104	26	6	urban	65745.0	32793.606
37	Gatsibo	104	26	3	rural	36232.80000000067	1807292.0640000305
37	Gatsibo	104	26	5	rural	135507.74999999945	799799.6129999999
37	Gatsibo	104	26	1	rural	290373.75	144838.4265
38	Gatsibo	120	26	4	rural	105666.82499999544	5270661.230999919
38	Gatsibo	120	26	5	rural	184670.400000001	1085832.7319999975
38	Gatsibo	120	26	3	rural	60193.20000000163	3002436.8160000867
38	Gatsibo	120	26	1	rural	1702065.0	120243.22200000001
38	Gatsibo	120	26	8	urban	7633.724999999972	380770.2030000016
38	Gatsibo	120	26	10	urban	13222.050000000007	78340.28099999996
38	Gatsibo	120	26	9	urban	8254.649999999967	411741.9420000021
38	Gatsibo	120	26	6	urban	115053.75	57388.81050000001
38	Gatsibo	120	26	7	urban	54787.5	18218.670000000002
38	Gatsibo	120	26	2	rural	2294500.5	632187.849
39	Gatsibo	121	26	3	rural	82619.54999999912	4121063.1540001393
39	Gatsibo	121	26	4	rural	154573.79999998765	7710141.14399941
39	Gatsibo	121	26	5	rural	273791.40000000386	1614174.1620000203
39	Gatsibo	121	26	8	urban	8656.424999999963	431782.4790000024
39	Gatsibo	121	26	10	urban	22864.650000000016	127530.68999999992
39	Gatsibo	121	26	9	urban	13806.449999999912	688665.726000001
39	Gatsibo	121	26	2	rural	3831472.5	965589.5100000001
39	Gatsibo	121	26	1	rural	421863.75	210425.63849999997
39	Gatsibo	121	26	6	urban	10957.5	5465.601000000001
40	Gatsibo	115	26	4	rural	2154.975000000002	107490.15299999992
40	Gatsibo	115	26	5	rural	1972.3500000000001	10931.202
40	Gatsibo	115	26	3	rural	949.6499999999996	47368.54199999997
41	Gatsibo	114	26	4	rural	3250.725000000005	162146.16299999988
41	Gatsibo	114	26	3	rural	1022.6999999999996	51012.27599999997
41	Gatsibo	114	26	5	rural	3798.599999999999	23684.270999999993
41	Gatsibo	114	26	2	rural	730500.0	145749.36000000002
42	Gatsibo	101	26	4	rural	46642.42500000109	2326524.159000055
42	Gatsibo	101	26	5	rural	118779.29999999951	683200.1250000007
42	Gatsibo	101	26	3	rural	24106.500000000193	1202432.220000002
42	Gatsibo	101	26	1	rural	38351.25	19129.6035
42	Gatsibo	101	26	10	urban	8546.849999999997	49190.40899999997
42	Gatsibo	101	26	9	urban	3433.3500000000054	171255.49799999988
42	Gatsibo	101	26	8	urban	4346.475000000005	216802.17299999984
42	Gatsibo	101	26	7	urban	7305.0	0.0
42	Gatsibo	101	26	6	urban	942345.0	142105.62600000002
43	Gatsibo	112	26	3	rural	66658.12500000166	3324907.275000102
43	Gatsibo	112	26	4	rural	146501.77499998893	7307508.536999494
43	Gatsibo	112	26	5	rural	342896.700000005	1987656.8970000315
43	Gatsibo	112	26	8	urban	34150.87500000059	1703445.6450000256
43	Gatsibo	112	26	9	urban	44487.450000001	2219034.00600005
43	Gatsibo	112	26	10	urban	155012.09999999986	892714.8299999994
43	Gatsibo	112	26	6	urban	3108277.5	92915.217
43	Gatsibo	112	26	2	rural	763372.5	162146.16300000003
43	Gatsibo	112	26	1	rural	1703891.25	263259.7815
43	Gatsibo	112	26	7	urban	745110.0	145749.36000000002
44	Gatsibo	107	26	8	urban	146.1	7287.468
44	Gatsibo	107	26	3	rural	59280.07500000159	2956890.1410000846
44	Gatsibo	107	26	5	rural	302646.1500000041	1781785.9260000233
44	Gatsibo	107	26	4	rural	130503.82499999148	6509530.79099966
44	Gatsibo	107	26	9	urban	620.9249999999998	30971.738999999987
44	Gatsibo	107	26	10	urban	1680.15	9109.335
44	Gatsibo	107	26	1	rural	180798.75	90182.4165
44	Gatsibo	107	26	2	rural	730500.0	145749.36000000002
45	Gatsibo	116	26	3	rural	3652.500000000006	182186.69999999987
45	Gatsibo	116	26	2	rural	730.5	14574.936
45	Gatsibo	116	26	4	rural	4967.399999999999	247773.9119999998
45	Gatsibo	116	26	5	rural	7231.949999999997	43724.807999999975
46	Gatsibo	105	26	4	rural	10519.199999999944	524697.6960000037
46	Gatsibo	105	26	5	rural	14902.200000000008	87449.61599999995
46	Gatsibo	105	26	3	rural	6318.824999999985	315182.9910000006
46	Gatsibo	105	26	2	rural	1461000.0	437248.0800000001
46	Gatsibo	105	26	8	urban	292.2	14574.936
46	Gatsibo	105	26	9	urban	146.1	7287.468
47	Gatsibo	113	26	3	rural	2739.3750000000036	136640.0249999999
47	Gatsibo	113	26	5	rural	12856.800000000003	74696.54699999996
47	Gatsibo	113	26	4	rural	5697.899999999991	284211.25200000015
47	Gatsibo	113	26	9	urban	1095.7499999999998	54656.009999999966
47	Gatsibo	113	26	8	urban	1497.5250000000008	74696.54699999995
47	Gatsibo	113	26	10	urban	2483.7	12753.069
48	Kayonza	231	27	4	rural	75204.9750000003	3751224.153000122
48	Kayonza	231	27	5	rural	173493.75000000073	998383.115999997
48	Kayonza	231	27	3	rural	24581.32500000021	1226116.4910000032
48	Kayonza	231	27	1	rural	575268.75	122976.02249999999
48	Kayonza	231	27	9	urban	620.9249999999998	30971.738999999987
48	Kayonza	231	27	10	urban	2045.4	12753.069
48	Kayonza	231	27	8	urban	474.8249999999999	23684.270999999993
48	Kayonza	231	27	2	rural	47482.5	16396.803000000004
48	Kayonza	231	27	7	urban	7305.0	0.0
49	Kayonza	239	27	4	rural	104278.87499999566	5201430.284999933
49	Kayonza	239	27	5	rural	313384.5000000034	1787251.5270000182
49	Kayonza	239	27	3	rural	50477.55000000124	2517820.194000064
49	Kayonza	239	27	1	rural	699453.75	469130.7525000001
49	Kayonza	239	27	2	rural	832770.0	180364.83300000004
49	Kayonza	239	27	9	urban	2228.0250000000024	111133.88699999992
49	Kayonza	239	27	8	urban	1278.3750000000002	63765.34499999996
49	Kayonza	239	27	10	urban	7304.999999999999	40081.073999999986
50	Kayonza	234	27	4	rural	126157.34999999218	6292728.6179997055
50	Kayonza	234	27	3	rural	39008.70000000078	1945753.956000037
50	Kayonza	234	27	5	rural	214840.0500000016	1253444.496000005
50	Kayonza	234	27	1	rural	297678.75	476418.22050000005
50	Kayonza	234	27	2	rural	7305.0	0.0
50	Kayonza	234	27	8	urban	1680.1500000000012	83805.88199999994
50	Kayonza	234	27	9	urban	3104.6250000000045	154858.6949999999
