DemandArea_Id;Region;ElArea_Id;LpgArea_Id;Num_Buildings
318;Rulindo;531;19;119
319;Rulindo;520;19;3791
320;Rulindo;522;19;101
321;Rulindo;526;19;13
322;Rulindo;523;19;112
323;Karongi;214;12;7738
324;Karongi;213;12;4904
325;Karongi;215;12;4062
326;Karongi;207;12;3155
327;Karongi;217;12;3528
328;Karongi;209;12;2970
329;Karongi;241;12;7579
330;Karongi;220;12;4410
331;Karongi;205;12;1631
332;Karongi;262;12;3085
333;Karongi;206;12;5139
334;Karongi;208;12;2247
335;Karongi;216;12;3416
336;Karongi;210;12;3346
337;Karongi;211;12;2258
338;Karongi;204;12;2451
339;Karongi;202;12;4600
340;Karongi;218;12;2595
341;Karongi;219;12;5084
342;Karongi;203;12;4670
343;Karongi;212;12;4694
344;Ngororero;336;16;3791
345;Ngororero;349;16;4404
346;Ngororero;340;16;3665
347;Ngororero;350;16;4355
348;Ngororero;341;16;3763
349;Ngororero;355;16;5065
350;Ngororero;344;16;3336
351;Ngororero;337;16;1424
352;Ngororero;348;16;1490
353;Ngororero;352;16;5369
354;Ngororero;338;16;1746
355;Ngororero;354;16;5772
356;Ngororero;353;16;7208
357;Ngororero;345;16;6866
358;Ngororero;335;16;3845
359;Ngororero;347;16;3602
360;Ngororero;351;16;2372
361;Ngororero;346;16;3178
362;Ngororero;356;16;4863
363;Ngororero;334;16;3392
364;Ngororero;342;16;1664
365;Ngororero;339;16;3920
366;Ngororero;343;16;2940
367;Nyabihu;361;15;3120
368;Nyabihu;364;15;10024
369;Nyabihu;359;15;5733
370;Nyabihu;363;15;10964
371;Nyabihu;358;15;13449
372;Nyabihu;369;15;2447
373;Nyabihu;362;15;4590
374;Nyabihu;360;15;5083
375;Nyabihu;368;15;4617
376;Nyabihu;367;15;4579
377;Nyabihu;365;15;5853
378;Nyabihu;366;15;4456
379;Nyamasheke;426;18;5517
380;Nyamasheke;423;18;6223
381;Nyamasheke;357;18;1981
382;Nyamasheke;425;18;3053
383;Nyamasheke;427;18;7220
384;Nyamasheke;422;18;3797
385;Nyamasheke;416;18;9897
386;Nyamasheke;240;18;9095
387;Nyamasheke;424;18;6972
388;Nyamasheke;421;18;5157
389;Nyamasheke;417;18;3266
390;Nyamasheke;429;18;2139
391;Nyamasheke;418;18;5392
392;Nyamasheke;419;18;5679
393;Nyamasheke;430;18;3382
394;Nyamasheke;428;18;5200
395;Nyamasheke;420;18;8777
396;Rubavu;485;14;13833
397;Rubavu;486;14;4807
398;Rubavu;483;14;7331
399;Rubavu;494;14;4971
400;Rubavu;482;14;7517
401;Rubavu;495;14;3611
402;Rubavu;480;14;11864
403;Rubavu;488;14;6716
404;Rubavu;487;14;8711
405;Rubavu;490;14;7655
406;Rubavu;493;14;3424
407;Rubavu;481;14;2236
408;Rubavu;489;14;8672
409;Rubavu;484;14;5264
410;Rubavu;492;14;19096
411;Rubavu;491;14;7564
412;Rusizi;542;17;10965
413;Rusizi;533;17;3236
414;Rusizi;543;17;9882
415;Rusizi;278;17;8523
416;Rusizi;299;17;3395
417;Rusizi;540;17;8228
418;Rusizi;535;17;12
419;Rusizi;534;17;2306
420;Rusizi;532;17;10484
421;Rusizi;163;17;6289
422;Rusizi;538;17;6501
423;Rusizi;4;17;3132
424;Rusizi;544;17;5429
425;Rusizi;539;17;4546
426;Rusizi;545;17;1593
427;Rusizi;536;17;4262
428;Rusizi;537;17;8115
429;Rusizi;300;17;774
430;Rusizi;541;17;4006
431;Rutsiro;547;13;6241
432;Rutsiro;548;13;66
433;Rutsiro;557;13;3523
434;Rutsiro;558;13;4722
435;Rutsiro;562;13;5462
436;Rutsiro;550;13;3529
437;Rutsiro;556;13;6036
438;Rutsiro;555;13;10953
439;Rutsiro;560;13;10152
440;Rutsiro;561;13;6184
441;Rutsiro;551;13;5216
442;Rutsiro;552;13;5376
443;Rutsiro;559;13;6281
444;Rutsiro;549;13;1584
445;Rutsiro;563;13;2920
446;Rutsiro;554;13;6657
447;Rutsiro;553;13;44
448;Gisagara;159;5;6216
449;Gisagara;156;5;6412
450;Gisagara;152;5;6625
451;Gisagara;277;5;3007
452;Gisagara;153;5;2687
453;Gisagara;155;5;8730
454;Gisagara;161;5;7797
455;Gisagara;162;5;7424
456;Gisagara;150;5;7924
457;Gisagara;158;5;7904
458;Gisagara;157;5;8256
459;Gisagara;151;5;9095
460;Gisagara;154;5;5517
461;Gisagara;160;5;5710
462;Huye;176;7;4790
463;Huye;177;7;7865
464;Huye;174;7;4924
465;Huye;168;7;10942
466;Huye;164;7;7155
467;Huye;167;7;4035
468;Huye;165;7;7417
469;Huye;169;7;6188
470;Huye;172;7;8124
471;Huye;173;7;8227
472;Huye;175;7;5714
473;Huye;166;7;2276
474;Huye;179;7;7633
475;Huye;170;7;3803
476;Huye;178;7;7106
477;Huye;171;7;571
478;Kamonyi;196;11;9309
479;Kamonyi;193;11;9382
480;Kamonyi;188;11;3490
481;Kamonyi;199;11;3466
482;Kamonyi;191;11;4293
483;Kamonyi;189;11;7220
484;Kamonyi;187;11;4829
485;Kamonyi;185;11;5423
486;Kamonyi;198;11;8803
487;Kamonyi;197;11;8283
488;Kamonyi;194;11;4337
489;Kamonyi;182;11;2809
490;Kamonyi;184;11;3981
491;Kamonyi;186;11;567
492;Kamonyi;195;11;3684
493;Kamonyi;183;11;9586
494;Kamonyi;190;11;4738
495;Kamonyi;201;11;4565
496;Kamonyi;200;11;9298
497;Kamonyi;192;11;4843
498;Muhanga;291;10;9222
499;Muhanga;289;10;3831
500;Muhanga;297;10;6788
501;Muhanga;293;10;5167
502;Muhanga;284;10;4198
503;Muhanga;294;10;7035
504;Muhanga;290;10;5053
505;Muhanga;281;10;3908
506;Muhanga;295;10;3105
507;Muhanga;283;10;2125
508;Muhanga;285;10;4104
509;Muhanga;282;10;7626
510;Muhanga;298;10;4996
511;Muhanga;286;10;2553
512;Muhanga;287;10;2624
513;Muhanga;280;10;8118
514;Muhanga;296;10;2281
515;Muhanga;292;10;5264
516;Muhanga;288;10;1570
517;Nyamagabe;400;8;3946
518;Nyamagabe;415;8;5791
519;Nyamagabe;414;8;3234
520;Nyamagabe;407;8;8227
