DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Aggregated_Point_Lat	Aggregated_Point_Long	Census_Electricity_Demand	Census_CookingHeating_Demand	Census_Cooking_Demand	Census_Heating_Demand
70	Kirehe	268	28	rural	-2.366333004741702	30.621857848764662	5924574.1499997545	15253581.457501251	14030359.207502939	1223222.2499999872
70	Kirehe	268	28	urban			0.0	0.0	0.0	0.0
71	Kirehe	275	28	rural	-2.2868187831858404	30.664064115044248	1131836.7000000167	16894172.691001665	15539387.39100377	1354785.3000000753
71	Kirehe	275	28	urban	-2.2686068914956015	30.72520791788856	96681.67499999877	1272574.0995000063	1170523.2494999957	102050.85000000097
72	Kirehe	269	28	rural	-2.3293855344694037	30.66707426413633	3446060.699999705	9549315.880499652	8783532.73050018	765783.1499999285
72	Kirehe	269	28	urban	-2.308516470588235	30.832310588235295	9240.824999999988	156680.5619999999	144115.9620000002	12564.600000000019
73	Kirehe	265	28	rural	-2.330741139690209	30.681371237743356	6786929.400000044	13732322.512500769	12631093.76250213	1101228.749999907
73	Kirehe	265	28	urban	-2.305994488188976	30.831806692913386	76812.07499999921	480972.8880000031	442402.4879999989	38570.39999999981
74	Kirehe	431	28	rural	-2.357741209964413	30.674405693950177	281498.17500000005	2647172.7510000654	2434889.45099999	212283.3000000051
74	Kirehe	431	28	urban			0.0	0.0	0.0	0.0
75	Kirehe	274	28	rural	-2.325465058430718	30.708489899833054	1238526.224999936	11360251.678500095	10449245.128500974	911006.549999909
75	Kirehe	274	28	urban	-2.3073436637390214	30.832354830614804	134448.52499999755	1486643.4720000154	1367425.8719999949	119217.60000000158
76	Kirehe	263	28	rural	-2.272364097228003	30.65646059269125	4704054.750000801	22848944.98049742	21016631.83050649	1832313.1500003482
76	Kirehe	263	28	urban	-2.261484632034632	30.776396103896104	98654.02499999844	874496.1599999982	804368.1599999974	70127.99999999972
77	Kirehe	267	28	rural	-2.2644018632817047	30.690440526377085	3815730.224999549	16448726.209501555	15129662.359503403	1319063.8500000383
77	Kirehe	267	28	urban	-2.2445904444444444	30.794675555555553	44560.50000000023	823483.8839999989	757446.6839999976	66037.19999999956
78	Kirehe	546	28	rural	-2.3681219645293314	30.6523931787176	88061.7749999993	1360023.7155000095	1250960.0654999954	109063.65000000123
78	Kirehe	546	28	urban			0.0	0.0	0.0	0.0
79	Kirehe	272	28	rural	-2.217624568034557	30.710617818574516	1163394.2999999248	7158115.442999589	6584088.5429999735	574026.8999999618
79	Kirehe	272	28	urban	-2.240781451612903	30.810725	23120.325000000015	453644.88300000265	417265.982999999	36378.899999999834
80	Kirehe	270	28	rural	-2.2211399620231314	30.713480838943553	2913489.6749996664	10922092.665000053	10046223.165000848	875869.4999999133
80	Kirehe	270	28	urban	-2.2407188449848023	30.80977294832827	34004.77500000016	606681.7110000022	558030.4109999985	48651.29999999972
81	Kirehe	273	28	rural	-2.1708216095795043	30.739402659426347	3203169.449999617	13659447.832500786	12564063.082502183	1095384.7499999169
81	Kirehe	273	28	urban	-2.238059016393443	30.80865901639344	6830.174999999992	111133.88699999992	102221.78700000016	8912.10000000001
82	Kirehe	271	28	rural	-2.1777309995953056	30.74834500202347	1681245.7499998459	4536448.830000069	4172659.8299999824	363788.99999999144
82	Kirehe	271	28	urban			0.0	0.0	0.0	0.0
83	Kirehe	266	28	rural	-2.1247172005914243	30.734894381468703	6589475.250001428	11315615.937000157	10408188.837001055	907427.099999907
83	Kirehe	266	28	urban			0.0	0.0	0.0	0.0
84	Kirehe	276	28	rural	-2.139696023989338	30.75677332296757	4991835.225000042	9543850.279499782	8778505.429500163	765344.8499999439
84	Kirehe	276	28	urban			0.0	0.0	0.0	0.0
85	Ngoma	320	29	rural	-2.2254096895447586	30.40771839064458	3700238.1749997283	13751452.116000803	12648689.316002183	1102762.7999999248
85	Ngoma	320	29	urban	-2.22024176	30.38428864	150957.82499999763	1187857.2840000016	1092600.083999996	95257.20000000062
86	Ngoma	330	29	rural	-2.1723613438976077	30.46583467926253	5942763.600000587	12332217.723000426	11343266.823001541	988950.8999998961
86	Ngoma	330	29	urban			0.0	0.0	0.0	0.0
87	Ngoma	328	29	rural	-2.250635507063572	30.482926765893037	6947712.4500009455	15547812.9780012	14300995.578002788	1246817.399999997
87	Ngoma	328	29	urban			0.0	0.0	0.0	0.0
88	Ngoma	322	29	rural	-2.2368333529066353	30.559537952632606	626075.0250000517	9470975.599499606	8711474.749500144	759500.8499999305
88	Ngoma	322	29	urban	-2.199491666666667	30.58770416666667	2410.65	43724.807999999975	40218.408	3506.3999999999987
89	Ngoma	331	29	rural	-2.152114383890043	30.513357823237975	8160488.550001329	12449728.144500442	11451353.794501469	998374.3499998997
89	Ngoma	331	29	urban	-2.163954259501966	30.54069711664482	279964.1250000005	1534922.9475000151	1411833.697499995	123089.25000000147
90	Ngoma	329	29	rural	-2.1687750500000003	30.4129662	524206.8000000258	7446881.362499491	6849697.612499973	597183.7499999563
90	Ngoma	329	29	urban			0.0	0.0	0.0	0.0
91	Ngoma	333	29	rural	-2.1183957612872235	30.553097010086457	2623298.549999978	15749129.28150144	14486167.831503216	1262961.4500000223
91	Ngoma	333	29	urban	-2.129313506076588	30.550628663150654	2152564.3499997333	8664799.451999394	7969947.851999967	694851.5999999424
92	Ngoma	327	29	rural	-2.119817311897106	30.423243073954982	5357998.350001002	14876454.988501132	13683475.438502654	1192979.5499999803
92	Ngoma	327	29	urban			0.0	0.0	0.0	0.0
93	Ngoma	326	29	rural	-2.2663966262975777	30.378210224913495	617491.6500000677	10691626.489499958	9834238.639500745	857387.8499999137
93	Ngoma	326	29	urban			0.0	0.0	0.0	0.0
94	Ngoma	319	29	rural	-2.1756422823051538	30.322162427011932	4318862.100000023	14652365.347501095	13477356.097502736	1175009.2499999658
94	Ngoma	319	29	urban	-2.1781210925039876	30.296025199362045	194824.34999999337	4621165.645500056	4250582.9954999825	370582.64999999054
95	Ngoma	321	29	rural	-2.0812823209428832	30.49415069507404	832550.8500000802	12383229.999000492	11390188.299001599	993041.6999998946
95	Ngoma	321	29	urban	-2.09335960591133	30.555242857142854	137772.29999999978	422673.1440000016	388777.94399999926	33895.199999999895
96	Ngoma	323	29	rural	-2.2286647881264785	30.535454915035494	668553.6000000505	8690305.589999389	7993408.589999968	696896.9999999397
96	Ngoma	323	29	urban	-2.1867384615384613	30.531465384615384	1972.3500000000013	47368.54199999997	43569.942	3798.5999999999985
97	Ngoma	332	29	rural	-2.1561655024864113	30.59119791835319	2822688.524999571	16839516.681001723	15489114.381003711	1350402.3000000727
97	Ngoma	332	29	urban	-2.167300815660685	30.57021810766721	146282.62499999837	1180569.8160000013	1085897.0159999963	94672.80000000075
98	Ngoma	324	29	rural	-2.1190973201692525	30.582344146685475	174297.29999999912	1384618.9200000125	1273582.9199999955	111036.00000000128
98	Ngoma	324	29	urban	-2.115046153846154	30.554715384615385	5259.599999999997	76518.41399999995	70382.21400000002	6136.2000000000035
99	Ngoma	325	29	rural	-2.1223257002351934	30.364745755826384	3343863.7499996847	8617430.909999346	7926377.909999967	691052.9999999396
99	Ngoma	325	29	urban			0.0	0.0	0.0	0.0
100	Nyagatare	381	25	rural	-1.457601056651814	30.189660432845322	5389300.274999788	15249026.790001214	14026169.790002849	1222856.9999999958
100	Nyagatare	381	25	urban	-1.455240460829493	30.21264746543779	166188.74999999758	2048689.441500039	1884399.9914999926	164289.4500000033
101	Nyagatare	391	25	rural	-1.4139041719948848	30.20252426470588	1292984.9999998573	11770171.75350031	10826292.703501265	943879.0499999027
101	Nyagatare	391	25	urban	-1.406346066008099	30.209072167720777	52376.85000000053	1309922.3730000074	1204876.4729999956	105045.90000000107
102	Nyagatare	376	25	rural	-1.4649616527603155	30.27392608298091	1111346.1750000925	16333948.588501526	15024089.038503442	1309859.5500000373
102	Nyagatare	376	25	urban	-1.4536015089594467	30.26828384155926	855269.4000000414	5978456.560499779	5499029.410499978	479427.149999974
103	Nyagatare	371	25	rural	-1.3800367777511386	30.178691333013663	1652683.1999999376	15648015.663001347	14393162.763003107	1254852.900000015
103	Nyagatare	371	25	urban	-1.3656639111111113	30.203579407407407	326204.7750000028	6246271.009499726	5745367.159499976	500903.84999997035
104	Nyagatare	370	25	rural	-1.416544575471698	30.113375432389937	289935.4499999954	4724101.131000037	4345263.830999982	378837.2999999893
104	Nyagatare	370	25	urban			0.0	0.0	0.0	0.0
105	Nyagatare	377	25	rural	-1.3807276662411512	30.2705612278055	1043811.4500000946	16177268.026501503	14879973.076503364	1297294.9500000386
105	Nyagatare	377	25	urban	-1.3701438073394496	30.254691991590214	920904.825000061	9938284.48499974	9141308.98500037	796975.4999999255
106	Nyagatare	378	25	rural	-1.4184518701298703	30.31712677922078	2963894.175000012	14662385.616000753	13486572.81600238	1175812.799999953
106	Nyagatare	378	25	urban	-1.4259549245785272	30.310475998225378	432273.37500000896	4295962.386000122	3951458.5859999834	344503.7999999961
107	Nyagatare	374	25	rural	-1.3181114600386963	30.20679968745349	673886.2500000614	12431509.474500459	11434596.124501588	996913.3499998928
107	Nyagatare	374	25	urban	-1.3276903072869723	30.209671217602068	235732.34999999552	2882193.594000078	2651063.393999989	231130.20000000586
108	Nyagatare	380	25	rural	-1.488735406162465	30.389347535014007	362254.9500000089	6600624.14099966	6071303.840999975	529320.2999999662
108	Nyagatare	380	25	urban	-1.5070532679738562	30.39090969498911	182478.8999999967	1728951.7830000257	1590302.8829999939	138648.90000000235
109	Nyagatare	382	25	rural	-1.3784149405772497	30.36723361629881	1556841.5999999861	3571770.253500097	3285341.203499987	286429.0500000028
109	Nyagatare	382	25	urban	-1.3686073089700996	30.363044850498337	23266.42500000005	559313.1690000034	514460.4689999986	44852.69999999975
110	Nyagatare	373	25	rural	-1.2953771716225708	30.25129880590026	1994885.924999967	7967024.39099938	7328129.090999969	638895.2999999495
110	Nyagatare	373	25	urban	-1.309525268432355	30.2627946313529	179666.4749999972	2609824.477500067	2400536.2274999903	209288.25000000506
111	Nyagatare	390	25	rural	-1.4307736842105263	30.67855263157895	2228.0250000000005	34615.47299999998	31839.573	2775.899999999999
111	Nyagatare	390	25	urban			0.0	0.0	0.0	0.0
112	Nyagatare	398	25	rural	-1.4392787527050954	30.44727186700767	2562740.0999998995	9712372.976999741	8933513.877000261	778859.0999999306
112	Nyagatare	398	25	urban	-1.4443051546391754	30.432785773195874	193947.74999999916	950103.6404999973	873912.4904999973	76191.14999999995
113	Nyagatare	388	25	rural	-1.4464807617817947	30.501080051646223	158591.54999999664	2869440.525000078	2639333.024999989	230107.50000000594
113	Nyagatare	388	25	urban			0.0	0.0	0.0	0.0
114	Nyagatare	397	25	rural	-1.3195735243553008	30.51613851002865	327848.40000000293	3314887.0065000975	3049058.056499988	265828.9500000066
114	Nyagatare	397	25	urban			0.0	0.0	0.0	0.0
115	Nyagatare	385	25	rural	-1.4190824	30.397658933333336	344540.32500000444	4209423.703500133	3871859.6534999837	337564.0499999956
115	Nyagatare	385	25	urban	-1.401126861451461	30.389928369462773	162645.82499999795	1995855.298500037	1835802.7484999928	160052.55000000307
116	Nyagatare	394	25	rural	-1.340179290979291	30.38418652158652	1915188.3749999048	5680581.305999828	5225041.50599998	455539.7999999777
116	Nyagatare	394	25	urban	-1.3630853873239437	30.36368943661972	109173.22499999913	1065792.194999996	980323.6949999966	85468.50000000026
117	Nyagatare	389	25	rural	-1.2900739130434782	30.43744902173913	252278.17499999466	3446972.3640001044	3170551.1639999873	276421.20000000496
117	Nyagatare	389	25	urban	-1.27518	30.4117975	3250.725000000002	74696.54699999995	68706.44700000001	5990.100000000003
118	Nyagatare	392	25	rural	-1.3182446805234795	30.318716951501152	2542797.4499997916	12365922.262500476	11374268.512501558	991653.7499998976
118	Nyagatare	392	25	urban	-1.2991767493112947	30.326616473829198	3034496.999999798	7733825.414999561	7113630.914999972	620194.4999999608
119	Nyagatare	386	25	rural	-1.3912666666666667	30.403766666666666	109.57499999999999	5465.601	5027.301	438.29999999999995
119	Nyagatare	386	25	urban			0.0	0.0	0.0	0.0
120	Nyagatare	372	25	rural	-1.498050301464255	30.166794272179157	3213177.29999981	4295962.386000118	3951458.5859999834	344503.7999999942
120	Nyagatare	372	25	urban			0.0	0.0	0.0	0.0
121	Nyagatare	395	25	rural	-1.1434169036334914	30.409724193184385	587942.9250000413	8253968.443499322	7592062.393499968	661906.0499999454
121	Nyagatare	395	25	urban	-1.1332092125739186	30.415120852785556	581076.2250000377	6019448.567999777	5536734.167999978	482714.39999997325
122	Nyagatare	393	25	rural	-1.1761658163265305	30.36001893424036	1722372.8999998595	3299401.137000097	3034814.0369999874	264587.1000000068
122	Nyagatare	393	25	urban	-1.1500926829268292	30.404639024390246	3542.9250000000025	76518.41399999996	70382.21400000002	6136.2000000000035
123	Nyagatare	379	25	rural	-1.2497980542043086	30.359663307852678	1684350.3749999302	2718225.56400007	2500244.36399999	217981.20000000528
123	Nyagatare	379	25	urban	-1.2681360294117647	30.350394485294117	28343.40000000014	513766.4940000033	472566.29399999883	41200.19999999979
124	Nyagatare	387	25	rural	-1.20633988372093	30.480461802325582	244315.72499999433	3200109.385500094	2943484.7354999883	256624.65000000704
124	Nyagatare	387	25	urban	-1.1338628571428573	30.42750714285714	6391.874999999993	129352.5569999999	118979.45700000021	10373.100000000013
125	Nyagatare	384	25	rural	-1.2515229337469531	30.407914713051184	1520864.4749999347	8533625.027999364	7849292.627999969	684332.3999999433
125	Nyagatare	384	25	urban	-1.2320352364104215	30.412089659054356	841243.8000000693	11776548.288000297	10832157.888001274	944390.3999999024
126	Nyagatare	396	25	rural	-1.0817718241869918	30.434415726626018	2192595.7499999767	7485140.5694994815	6884888.719499971	600251.8499999568
126	Nyagatare	396	25	urban	-1.0741150997150999	30.42007806267806	1561005.4499999871	1318120.7745000073	1212417.4244999958	105703.3500000011
127	Nyagatare	383	25	rural	-1.1029748309006764	30.386084193663226	330879.9750000118	5220559.888499934	4801910.33849998	418649.5499999832
127	Nyagatare	383	25	urban	-1.1007497737556562	30.402556108597285	18554.70000000002	404454.47400000197	372020.2739999993	32434.19999999987
128	Nyagatare	375	25	rural	-1.242881189545174	30.294485614323936	725861.3250000501	9083828.861999514	8355374.261999967	728454.5999999356
128	Nyagatare	375	25	urban	-1.2835548780487807	30.331001219512196	34443.075000000084	163057.0964999999	149981.1465000002	13075.95000000002
129	Rwamagana	579	24	rural	-1.8664886993292507	30.296227209098863	4122576.7499997714	14001958.828500712	12879107.278501924	1122851.5499999248
129	Rwamagana	579	24	urban	-1.8887166411277967	30.278245448973337	525156.450000046	6255380.344499731	5753745.994499976	501634.34999997163
130	Rwamagana	581	24	rural	-1.9187909534750143	30.308718983342906	2082472.8750000184	7036961.287499679	6472650.037499976	564311.2499999675
130	Rwamagana	581	24	urban	-1.9227931944444445	30.284635	110926.42499999898	1350003.4470000085	1241743.3469999956	108260.10000000118
131	Rwamagana	580	24	rural	-1.9155292584819867	30.343515477439666	3078144.3749997695	11105190.298500039	10214637.74850088	890552.5499999108
131	Rwamagana	580	24	urban	-1.9236400451069215	30.349364848373774	179885.62499999805	2033203.5720000374	1870155.971999993	163047.6000000031
132	Rwamagana	574	24	rural	-1.8961424925951242	30.387013716108456	743174.1750000461	8415203.672999319	7740367.772999967	674835.8999999445
132	Rwamagana	574	24	urban	-1.8929717079640687	30.396497709192776	3751811.475000006	3281182.4670000905	3018056.366999988	263126.1000000067
133	Rwamagana	584	24	rural	-1.9409831544424567	30.392157960644006	519860.3250000186	6322789.423499736	5815749.3734999765	507040.04999997106
133	Rwamagana	584	24	urban	-1.9367449802371541	30.40844915019763	2409225.524999879	9876341.00699978	9084332.907000324	792008.0999999316
134	Rwamagana	575	24	rural	-1.8816793219254757	30.441335662881816	2880069.299999735	12242035.306500394	11260316.356501423	981718.9499999012
134	Rwamagana	575	24	urban	-1.8931722098214288	30.41872823660714	108442.72499999861	1765389.1230000248	1623818.2229999942	141570.9000000024
135	Rwamagana	576	24	rural	-2.0217591457753015	30.287439275766015	1793231.39999963	12684748.987500565	11667527.73750171	1017221.2499998973
135	Rwamagana	576	24	urban	-2.0050351203501093	30.269896827133483	272586.0749999981	3502539.307500105	3221662.0574999866	280877.2500000043
136	Rwamagana	573	24	rural	-2.004669823922283	30.344307650273223	1372317.3000000324	9386258.783999544	8633551.584000101	752707.1999999332
136	Rwamagana	573	24	urban	-1.9655940677966102	30.35089788135593	27028.500000000102	442713.68100000237	407211.3809999992	35502.29999999985
137	Rwamagana	572	24	rural	-1.9597693229166666	30.30276010416667	1322095.4249998536	7418642.423999526	6823723.223999972	594919.1999999568
137	Rwamagana	572	24	urban	-1.9526820840950638	30.26745886654479	54495.30000000025	1022067.3869999959	940105.2869999968	81962.10000000015
138	Rwamagana	565	24	rural	-2.028238456507521	30.25420369522564	555947.0250000332	5835440.0009998195	5367481.700999978	467958.2999999766
138	Rwamagana	565	24	urban	-2.0008448763250883	30.243437868080093	1560895.874999642	12989000.776500631	11947380.82650182	1041619.9499998898
139	Rwamagana	583	24	rural	-2.027139781804013	30.391645275667255	1469400.7499998054	9752454.050999707	8970380.751000274	782073.2999999288
139	Rwamagana	583	24	urban			0.0	0.0	0.0	0.0
140	Rwamagana	570	24	rural	-1.9739872204472841	30.29054624600639	955932.3000000018	2698185.0270000524	2481810.9269999913	216374.1000000043
140	Rwamagana	570	24	urban	-1.9764193125282676	30.251939823609227	730682.6250000366	8580082.636499437	7892024.686499967	688057.9499999452
141	Rwamagana	569	24	rural	-1.9556880364109233	30.288022496749026	75643.27499999976	1431987.4620000136	1317152.861999995	114834.60000000137
141	Rwamagana	569	24	urban	-1.9613957712924361	30.252046515783203	289241.474999998	3253854.4620000897	2992919.861999988	260934.60000000693
142	Rwamagana	317	24	rural	-1.955676322580645	30.361574967741937	180871.79999999763	2897679.4635000792	2665307.413499989	232372.05000000607
142	Rwamagana	317	24	urban	-1.959520073936844	30.3708067376433	1276585.2749999936	5043838.789500002	4639360.939499981	404477.849999988
143	Rwamagana	585	24	rural	-1.9511673830594183	30.454271049304676	267362.9999999982	3064380.294000082	2818640.093999989	245740.20000000627
143	Rwamagana	585	24	urban	-1.950793007742704	30.436696807623584	11446423.650000583	19449341.158499394	17889650.608503927	1559690.5500001756
144	Rwamagana	571	24	rural	-2.0797394998015086	30.264754466057962	497835.7500000193	5172280.412999934	4757502.512999983	414777.8999999836
144	Rwamagana	571	24	urban			0.0	0.0	0.0	0.0
145	Rwamagana	578	24	rural	-2.083857438345267	30.292849880668257	330478.20000000583	4709526.195000041	4331857.694999982	377668.4999999898
